Train Epoch: 1	[7040/50000 (14%)]	Loss: 0.363441	Accuracy: 0.000000	Time 0.365 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7200/50000 (14%)]	Loss: 0.354343	Accuracy: 12.500000	Time 0.367 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7360/50000 (15%)]	Loss: 0.364219	Accuracy: 18.750000	Time 0.369 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7520/50000 (15%)]	Loss: 0.351714	Accuracy: 18.750000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7680/50000 (15%)]	Loss: 0.323935	Accuracy: 18.750000	Time 0.361 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7840/50000 (16%)]	Loss: 0.369538	Accuracy: 18.750000	Time 0.367 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8000/50000 (16%)]	Loss: 0.337752	Accuracy: 6.250000	Time 0.365 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8160/50000 (16%)]	Loss: 0.379940	Accuracy: 6.250000	Time 0.362 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8320/50000 (17%)]	Loss: 0.334084	Accuracy: 12.500000	Time 0.364 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8480/50000 (17%)]	Loss: 0.414415	Accuracy: 6.250000	Time 0.364 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8640/50000 (17%)]	Loss: 0.347027	Accuracy: 31.250000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8800/50000 (18%)]	Loss: 0.359376	Accuracy: 18.750000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8960/50000 (18%)]	Loss: 0.358938	Accuracy: 25.000000	Time 0.364 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9120/50000 (18%)]	Loss: 0.352004	Accuracy: 12.500000	Time 0.367 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9280/50000 (19%)]	Loss: 0.323852	Accuracy: 12.500000	Time 0.363 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9440/50000 (19%)]	Loss: 0.348000	Accuracy: 0.000000	Time 0.361 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9600/50000 (19%)]	Loss: 0.315831	Accuracy: 18.750000	Time 0.365 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9760/50000 (20%)]	Loss: 0.392860	Accuracy: 12.500000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9920/50000 (20%)]	Loss: 0.356907	Accuracy: 12.500000	Time 0.363 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[10080/50000 (20%)]	Loss: 0.348013	Accuracy: 12.500000	Time 0.362 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[10240/50000 (20%)]	Loss: 0.359773	Accuracy: 25.000000	Time 0.360 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[10400/50000 (21%)]	Loss: 0.333641	Accuracy: 0.000000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[10560/50000 (21%)]	Loss: 0.320357	Accuracy: 0.000000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[10720/50000 (21%)]	Loss: 0.323584	Accuracy: 12.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[10880/50000 (22%)]	Loss: 0.350026	Accuracy: 25.000000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11040/50000 (22%)]	Loss: 0.379022	Accuracy: 6.250000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11200/50000 (22%)]	Loss: 0.335849	Accuracy: 12.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11360/50000 (23%)]	Loss: 0.428607	Accuracy: 6.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11520/50000 (23%)]	Loss: 0.453843	Accuracy: 18.750000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11680/50000 (23%)]	Loss: 0.318449	Accuracy: 31.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11840/50000 (24%)]	Loss: 0.321498	Accuracy: 25.000000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12000/50000 (24%)]	Loss: 0.281403	Accuracy: 6.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12160/50000 (24%)]	Loss: 0.329598	Accuracy: 12.500000	Time 0.362 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12320/50000 (25%)]	Loss: 0.286719	Accuracy: 37.500000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12480/50000 (25%)]	Loss: 0.310964	Accuracy: 31.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12640/50000 (25%)]	Loss: 0.347082	Accuracy: 25.000000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12800/50000 (26%)]	Loss: 0.357272	Accuracy: 6.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12960/50000 (26%)]	Loss: 0.367068	Accuracy: 18.750000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13120/50000 (26%)]	Loss: 0.333770	Accuracy: 12.500000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13280/50000 (27%)]	Loss: 0.323777	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13440/50000 (27%)]	Loss: 0.329338	Accuracy: 12.500000	Time 0.388 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13600/50000 (27%)]	Loss: 0.304864	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13760/50000 (28%)]	Loss: 0.363083	Accuracy: 12.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13920/50000 (28%)]	Loss: 0.430283	Accuracy: 18.750000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[14080/50000 (28%)]	Loss: 0.407383	Accuracy: 6.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[14240/50000 (28%)]	Loss: 0.322457	Accuracy: 12.500000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[14400/50000 (29%)]	Loss: 0.331565	Accuracy: 18.750000	Time 0.372 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[14560/50000 (29%)]	Loss: 0.381629	Accuracy: 18.750000	Time 0.368 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[14720/50000 (29%)]	Loss: 0.365371	Accuracy: 6.250000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[14880/50000 (30%)]	Loss: 0.411578	Accuracy: 31.250000	Time 0.362 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[15040/50000 (30%)]	Loss: 0.377485	Accuracy: 6.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[15200/50000 (30%)]	Loss: 0.313550	Accuracy: 6.250000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[15360/50000 (31%)]	Loss: 0.319667	Accuracy: 6.250000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[15520/50000 (31%)]	Loss: 0.359684	Accuracy: 12.500000	Time 0.368 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[15680/50000 (31%)]	Loss: 0.339366	Accuracy: 6.250000	Time 0.362 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[15840/50000 (32%)]	Loss: 0.346970	Accuracy: 6.250000	Time 0.362 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[16000/50000 (32%)]	Loss: 0.350840	Accuracy: 12.500000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[16160/50000 (32%)]	Loss: 0.323228	Accuracy: 6.250000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[16320/50000 (33%)]	Loss: 0.374408	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[16480/50000 (33%)]	Loss: 0.321475	Accuracy: 6.250000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[16640/50000 (33%)]	Loss: 0.381035	Accuracy: 12.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[16800/50000 (34%)]	Loss: 0.274744	Accuracy: 37.500000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[16960/50000 (34%)]	Loss: 0.301198	Accuracy: 31.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[17120/50000 (34%)]	Loss: 0.464993	Accuracy: 0.000000	Time 0.370 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[17280/50000 (35%)]	Loss: 0.329480	Accuracy: 12.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[17440/50000 (35%)]	Loss: 0.323492	Accuracy: 12.500000	Time 0.368 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[17600/50000 (35%)]	Loss: 0.311886	Accuracy: 6.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[17760/50000 (36%)]	Loss: 0.458399	Accuracy: 18.750000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[17920/50000 (36%)]	Loss: 0.331300	Accuracy: 12.500000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[18080/50000 (36%)]	Loss: 0.373958	Accuracy: 6.250000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[18240/50000 (36%)]	Loss: 0.345888	Accuracy: 0.000000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[18400/50000 (37%)]	Loss: 0.328578	Accuracy: 6.250000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[18560/50000 (37%)]	Loss: 0.341767	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[18720/50000 (37%)]	Loss: 0.337893	Accuracy: 18.750000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[18880/50000 (38%)]	Loss: 0.319113	Accuracy: 37.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[19040/50000 (38%)]	Loss: 0.318716	Accuracy: 18.750000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[19200/50000 (38%)]	Loss: 0.326850	Accuracy: 12.500000	Time 0.370 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[19360/50000 (39%)]	Loss: 0.330290	Accuracy: 6.250000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[19520/50000 (39%)]	Loss: 0.373602	Accuracy: 18.750000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[19680/50000 (39%)]	Loss: 0.324048	Accuracy: 31.250000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[19840/50000 (40%)]	Loss: 0.334309	Accuracy: 0.000000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[20000/50000 (40%)]	Loss: 0.329707	Accuracy: 12.500000	Time 0.370 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[20160/50000 (40%)]	Loss: 0.332868	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[20320/50000 (41%)]	Loss: 0.309591	Accuracy: 12.500000	Time 0.369 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[20480/50000 (41%)]	Loss: 0.289145	Accuracy: 25.000000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[20640/50000 (41%)]	Loss: 0.282354	Accuracy: 6.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[20800/50000 (42%)]	Loss: 0.352010	Accuracy: 12.500000	Time 0.370 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[20960/50000 (42%)]	Loss: 0.331091	Accuracy: 0.000000	Time 0.357 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[21120/50000 (42%)]	Loss: 0.310043	Accuracy: 12.500000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[21280/50000 (43%)]	Loss: 0.298870	Accuracy: 18.750000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[21440/50000 (43%)]	Loss: 0.300955	Accuracy: 12.500000	Time 0.360 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[21600/50000 (43%)]	Loss: 0.326868	Accuracy: 31.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[21760/50000 (44%)]	Loss: 0.467914	Accuracy: 18.750000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[21920/50000 (44%)]	Loss: 0.410127	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[22080/50000 (44%)]	Loss: 0.310248	Accuracy: 18.750000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[22240/50000 (44%)]	Loss: 0.332557	Accuracy: 12.500000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[22400/50000 (45%)]	Loss: 0.293930	Accuracy: 25.000000	Time 0.359 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[22560/50000 (45%)]	Loss: 0.275585	Accuracy: 12.500000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[22720/50000 (45%)]	Loss: 0.296181	Accuracy: 12.500000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[22880/50000 (46%)]	Loss: 0.428158	Accuracy: 6.250000	Time 0.361 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[23040/50000 (46%)]	Loss: 0.302529	Accuracy: 18.750000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[23200/50000 (46%)]	Loss: 0.313002	Accuracy: 31.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[23360/50000 (47%)]	Loss: 0.401188	Accuracy: 18.750000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[23520/50000 (47%)]	Loss: 0.336621	Accuracy: 31.250000	Time 0.360 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[23680/50000 (47%)]	Loss: 0.387096	Accuracy: 0.000000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[23840/50000 (48%)]	Loss: 0.334215	Accuracy: 12.500000	Time 0.368 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[24000/50000 (48%)]	Loss: 0.413530	Accuracy: 0.000000	Time 0.369 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[24160/50000 (48%)]	Loss: 0.375141	Accuracy: 12.500000	Time 0.359 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[24320/50000 (49%)]	Loss: 0.259589	Accuracy: 0.000000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[24480/50000 (49%)]	Loss: 0.268141	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[24640/50000 (49%)]	Loss: 0.505425	Accuracy: 6.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[24800/50000 (50%)]	Loss: 0.334478	Accuracy: 6.250000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[24960/50000 (50%)]	Loss: 0.450817	Accuracy: 6.250000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[25120/50000 (50%)]	Loss: 0.338102	Accuracy: 12.500000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[25280/50000 (51%)]	Loss: 0.333078	Accuracy: 6.250000	Time 0.358 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[25440/50000 (51%)]	Loss: 0.331015	Accuracy: 0.000000	Time 0.359 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[25600/50000 (51%)]	Loss: 0.280658	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[25760/50000 (52%)]	Loss: 0.268322	Accuracy: 6.250000	Time 0.357 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[25920/50000 (52%)]	Loss: 0.329239	Accuracy: 6.250000	Time 0.368 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[26080/50000 (52%)]	Loss: 0.339776	Accuracy: 0.000000	Time 0.369 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[26240/50000 (52%)]	Loss: 0.264554	Accuracy: 18.750000	Time 0.369 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[26400/50000 (53%)]	Loss: 0.302573	Accuracy: 6.250000	Time 0.368 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[26560/50000 (53%)]	Loss: 0.260852	Accuracy: 12.500000	Time 0.362 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[26720/50000 (53%)]	Loss: 0.270219	Accuracy: 6.250000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[26880/50000 (54%)]	Loss: 0.370891	Accuracy: 18.750000	Time 0.369 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[27040/50000 (54%)]	Loss: 0.286160	Accuracy: 6.250000	Time 0.369 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[27200/50000 (54%)]	Loss: 0.347503	Accuracy: 12.500000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[27360/50000 (55%)]	Loss: 0.321904	Accuracy: 12.500000	Time 0.368 (0.366)	Data 0.000 (0.000)
